date,open,high,low,close,volume
2021-05-24,150.1199951171875,150.7100067138672,149.77999877929688,150.2100067138672,3187600
2021-05-25,150.63999938964844,150.7899932861328,149.36000061035156,149.5800018310547,1637300
2021-05-26,149.7899932861328,150.19000244140625,149.55999755859375,150.08999633789062,3546000
2021-05-27,150.8000030517578,151.02000427246094,150.60000610351562,150.8300018310547,1843300
2021-05-28,151.35000610351562,151.49000549316406,150.77000427246094,151.1199951171875,1552200
2021-06-01,152.19000244140625,152.3300018310547,151.22999572753906,151.6199951171875,2395400
2021-06-02,151.89999389648438,151.97999572753906,151.22000122070312,151.72999572753906,1741100
2021-06-03,151.07000732421875,151.7899932861328,150.41000366210938,151.50999450683594,2884300
2021-06-04,152.1300048828125,152.42999267578125,151.6199951171875,152.25999450683594,2075800
2021-06-07,152.52999877929688,152.52999877929688,151.75,151.99000549316406,2400100
2021-06-08,152.14999389648438,152.3800048828125,151.27999877929688,152.17999267578125,1646000
2021-06-09,152.3800048828125,152.3800048828125,151.49000549316406,151.49000549316406,1600900
2021-06-10,152.1699981689453,152.47000122070312,151.22000122070312,151.77999877929688,1756400
2021-06-11,152.02000427246094,152.2899932861328,151.60000610351562,152.17999267578125,1315500
2021-06-14,152.14999389648438,152.25999450683594,150.97999572753906,151.7100067138672,1441900
2021-06-15,151.85000610351562,152.07000732421875,151.1699981689453,151.72999572753906,2714500
2021-06-16,151.6199951171875,151.72000122070312,150.0399932861328,150.6999969482422,2776700
2021-06-17,150.50999450683594,150.91000366210938,148.19000244140625,149.22000122070312,3518800
2021-06-18,147.8800048828125,148.00999450683594,146.5800018310547,146.64999389648438,2341900
2021-06-21,147.17999267578125,149.1199951171875,147.0800018310547,149.0500030517578,4364700
2021-06-22,149.10000610351562,149.75999450683594,148.4199981689453,149.36000061035156,2095500
2021-06-23,149.49000549316406,149.75999450683594,149.07000732421875,149.11000061035156,2445700
2021-06-24,149.85000610351562,150.25999450683594,149.47000122070312,150.08999633789062,1848400
2021-06-25,150.49000549316406,151.32000732421875,150.32000732421875,151.13999938964844,2162900
2021-06-28,151.39999389648438,151.4199981689453,149.97999572753906,150.50999450683594,2222200
2021-06-29,150.8000030517578,151.27000427246094,150.3000030517578,150.39999389648438,1883000
2021-06-30,150.32000732421875,150.9499969482422,150.32000732421875,150.72999572753906,2614000
2021-07-01,151.22999572753906,151.97999572753906,151.13999938964844,151.77999877929688,2159200
2021-07-02,152.07000732421875,152.36000061035156,151.6199951171875,152.22999572753906,1228400
2021-07-06,152.11000061035156,152.11000061035156,149.8699951171875,150.89999389648438,2424500
2021-07-07,150.83999633789062,151.42999267578125,150.0800018310547,151.25999450683594,2481700
2021-07-08,149.33999633789062,150.4499969482422,148.6199951171875,149.8699951171875,3747100
2021-07-09,150.80999755859375,152.11000061035156,150.75,152.0,3006800
2021-07-12,151.6300048828125,152.5399932861328,151.22000122070312,152.49000549316406,1809600
2021-07-13,152.1699981689453,152.25,151.00999450683594,151.0500030517578,2234300
2021-07-14,151.52999877929688,152.13999938964844,150.49000549316406,150.8300018310547,2338600
